group_label,group_order,outcome,display_name,side,family,transform,actual_transition,n_obs,mean_delta,median_delta,std_delta,mean_y_pre,mean_y_post
stay100,0,positive_total,Positive total,positive,sum,log1p,100->100,1515,0.008543028886704546,0.021141014955952775,0.4092825382973823,13.301532664036184,13.163031319746851
to40,1,positive_total,Positive total,positive,sum,log1p,100->40,76,-0.1306957710890573,-0.09509359136944606,0.30918412776251714,5.014389312563012,4.1369430086911105
to10,2,positive_total,Positive total,positive,sum,log1p,100->10,4,-0.06503520944762728,-0.051897781235726415,0.13348338814495309,3.0873748184284557,2.898190000131036
