group_label,group_order,outcome,display_name,side,family,transform,actual_transition,n_obs,mean_delta,median_delta,std_delta,mean_y_pre,mean_y_post
stay100,0,negative_total,Negative total,negative,sum,log1p,100->100,1515,0.0037280241645498684,0.0020658584497237342,0.4264909278311897,7.796739968472981,7.590485260811292
to40,1,negative_total,Negative total,negative,sum,log1p,100->40,76,-0.11250370967518497,-0.06441562126614242,0.2779950592019497,3.900507269757149,3.3469861549009643
to10,2,negative_total,Negative total,negative,sum,log1p,100->10,4,0.045548013891041905,0.07856259255526465,0.2853066892705085,2.2232571476159455,2.4802774619596994
