symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
AAL,0.7681172236662003,0.678888749843574,0.2843198598423226,0.036791390314103355,0.4452359660984959,0.701954397394137,0.267100977198697,0.03094462540716596,2.3421279279002167,0.012517442337683628,0.12139867027825657,0.8660838873840598,1.4937884204607519,0.011650485436893142,0.09223300970873785,0.896116504854369,100.0,100.0,0,0,stay100,0,100->100,0.012517442337683628,0.011650485436893142,-0.0008669569007904859,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAOI,0.7734130635628644,0.7179895383215831,0.25062542642710933,0.03138503525130759,1.1454902295623697,0.7418345282804144,0.23056788437464437,0.02759758734494134,2.014532594265519,0.009080590238365452,0.09613201781192701,0.8947873919497075,2.4824169450826705,0.013128528291978468,0.11610870421425759,0.8707627674937639,100.0,100.0,0,0,stay100,0,100->100,0.009080590238365452,0.013128528291978468,0.004047938053613016,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAON,3.327398475703858,0.776742301458671,0.20320097244732577,0.020056726094003215,4.2513007007857295,0.7955886484967687,0.18516437201461083,0.019246979488620385,7.9167276537005895,0.009025885558583097,0.08838555858310627,0.9025885558583107,7.426935124230197,0.00997185363892239,0.1012464817048653,0.8887816646562123,100.0,100.0,0,0,stay100,0,100->100,0.009025885558583097,0.00997185363892239,0.0009459680803392927,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPB,0.0363967242948134,1.0,0.0,0.0,0.5228978074112065,0.7203389830508474,0.2627118644067797,0.016949152542372774,0.0727934485896269,0.0,0.0,1.0,0.8153660725734068,0.005434782608695617,0.14673913043478254,0.8478260869565218,100.0,100.0,0,0,stay100,0,100->100,0.0,0.005434782608695617,0.005434782608695617,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPD,0.7538623040313138,0.6502968159740962,0.3081489476524556,0.04155423637344835,1.0888336757205952,0.6719665271966527,0.2912133891213389,0.0368200836820083,3.2282230882290754,0.00970384373030873,0.09388783868935098,0.8964083175803403,4.3744690185226585,0.010622786919391782,0.09185586336179961,0.8975213497188085,100.0,100.0,0,0,stay100,0,100->100,0.00970384373030873,0.010622786919391782,0.0009189431890830515,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPL,0.1315946357526204,0.8157756841441118,0.16630663772176527,0.017917678134122945,0.182805726008484,0.7772001286311504,0.200262621931611,0.022537249437238602,0.2380639854241671,0.010078738295658753,0.08714118509410727,0.902780076610234,0.3831754852194127,0.010031876992311966,0.09438658097949296,0.8955815420281951,100.0,100.0,0,0,stay100,0,100->100,0.010078738295658753,0.010031876992311966,-4.68613033467874e-05,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPU,0.1375432025447021,0.7859007832898176,0.20104438642297642,0.0130548302872061,0.3006364259834374,0.7425888418339166,0.2288712944209169,0.028539863745166375,0.2664675098907806,0.01078167115902936,0.08760107816711589,0.9016172506738547,0.6499304506484146,0.01166851205178426,0.11191550975215048,0.8764159781960652,100.0,100.0,0,0,stay100,0,100->100,0.01078167115902936,0.01166851205178426,0.0008868408927548994,positive_near_zero_share,Positive near-zero share,positive,share,signed
AARD,16.633138056814413,0.6602870813397128,0.31100478468899523,0.028708133971291863,13.921576070452472,0.7766871165644171,0.2073619631901841,0.01595092024539877,28.411628164032273,0.014005602240896359,0.1484593837535014,0.8375350140056022,21.300865472213786,0.018444266238973533,0.18444266238973536,0.7971130713712911,100.0,100.0,0,0,stay100,0,100->100,0.014005602240896359,0.018444266238973533,0.004438663998077174,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAXJ,0.140672754131283,0.67706013363029,0.2962138084632513,0.026726057906458725,0.0766789494983918,0.5,0.5,0.0,0.38786830649115467,0.014943457189014436,0.08037156704361874,0.9046849757673668,0.3258855353681654,0.0,0.0,1.0,100.0,100.0,0,0,stay100,0,100->100,0.014943457189014436,0.0,-0.014943457189014436,positive_near_zero_share,Positive near-zero share,positive,share,signed
ABAT,1.9418934619724073,0.6795110834887095,0.2865133623368552,0.033975554174435436,2.4140422707958002,0.6332423829013187,0.3246930422919509,0.042064574806730336,4.776888951203722,0.013474818932120596,0.117315142327775,0.8692100387401045,5.844638949393744,0.015965439519158516,0.14453418482344102,0.8395003756574004,100.0,100.0,0,0,stay100,0,100->100,0.013474818932120596,0.015965439519158516,0.0024906205870379207,positive_near_zero_share,Positive near-zero share,positive,share,signed
ABCL,1.9088800023158392,0.6967711745437529,0.2686008423022929,0.03462798315395413,2.1976150584314618,0.6314377682403434,0.33369098712446343,0.03487124463519311,4.275998395454339,0.01316064340923332,0.10486734907039898,0.8819720075203676,5.42565692001158,0.016731855714906565,0.12516297262059975,0.8581051716644936,100.0,100.0,0,0,stay100,0,100->100,0.01316064340923332,0.016731855714906565,0.0035712123056732444,positive_near_zero_share,Positive near-zero share,positive,share,signed
ABEO,5.591050930988111,0.7288918205804749,0.241424802110818,0.029683377308707123,4.772360977403758,0.6718041704442429,0.2928377153218495,0.035358114233907514,13.774785769947623,0.010441767068273091,0.10763052208835337,0.8819277108433735,16.415537215113197,0.00975224037954665,0.08777016341591988,0.9024775962045335,100.0,100.0,0,0,stay100,0,100->100,0.010441767068273091,0.00975224037954665,-0.0006895266887264415,positive_near_zero_share,Positive near-zero share,positive,share,signed
