group_label,group_order,outcome,display_name,side,family,transform,actual_transition,n_obs,mean_delta,median_delta,std_delta,mean_y_pre,mean_y_post
stay100,0,positive_total,Positive total,positive,sum,log1p,100->100,2262,-0.004105466415260414,0.009630812411791256,0.45561379974534233,14.736563452512545,14.1529880368458
to40,1,positive_total,Positive total,positive,sum,log1p,100->40,76,-0.09387515968473625,-0.10274736338546653,0.22358883249985778,5.687356347140138,5.114601907558671
to10,2,positive_total,Positive total,positive,sum,log1p,100->10,4,-0.1639491028607297,-0.1654381475777289,0.04821280069734094,4.547256160005753,3.619555906048838
