group_label,group_order,outcome,display_name,side,family,transform,actual_transition,n_obs,mean_delta,median_delta,std_delta,mean_y_pre,mean_y_post
stay100,0,negative_total,Negative total,negative,sum,log1p,100->100,2594,0.009345460836572027,0.011868924421467197,0.392074723406359,3.9253621381594686,3.9632565354271425
to40,1,negative_total,Negative total,negative,sum,log1p,100->40,166,0.005401049306088275,-0.0028655020880099524,0.2930712142024791,2.6910145324195915,2.7034154785854994
to10,2,negative_total,Negative total,negative,sum,log1p,100->10,9,0.2472994598953412,0.17006349213632999,0.5219072291946796,2.0317920118109667,3.0532571611508788
