status,outcome,display_name,side,family,transform,coef_to40,se_to40,t_to40,p_value_to40,ci_to40_low,ci_to40_high,coef_to10,se_to10,t_to10,p_value_to10,ci_to10_low,ci_to10_high,n_obs,n_stay100,n_to40,n_to10,r2,mean_delta_stay100,mean_delta_to40,mean_delta_to10,analysis_sample_csv,group_summary_csv,boxplot_png,regression_json
ok,negative_total,Negative total,negative,sum,log1p,-0.003944411530483831,0.02396157678525209,-0.16461402210022935,0.8692477937493295,-0.05090823904236898,0.04301941598140131,0.23795399905876907,0.1642891223660023,1.4483855999221702,0.14750923979386535,-0.0840467638302893,0.5599547619478275,2769,2594,166,9,0.0012308693750098243,0.009345460836572027,0.005401049306088275,0.2472994598953412,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__negative_total.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__negative_total.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__negative_total.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__negative_total.json
ok,positive_total,Positive total,positive,sum,log1p,-0.09023830735414842,0.02435828084378489,-3.704625459114578,0.0002117033082727157,-0.13797966053327873,-0.04249695417501812,-0.03766718799924669,0.1278251019660803,-0.2946775509652405,0.7682402138166861,-0.28819978417292413,0.21286540817443078,2769,2594,166,9,0.0034135565823534275,0.018983130933403276,-0.07125517642074505,-0.01868405706584337,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__positive_total.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__positive_total.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__positive_total.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__positive_total.json
ok,negative_near_zero_share,Negative near-zero share,negative,share,signed,0.01014181337655376,0.001758258704416324,5.7681007641708,8.016986917928375e-09,0.006695689640393708,0.013587937112713812,0.02902817803163169,0.005575657556209452,5.206234016166188,1.9271159089788196e-07,0.01810009003133255,0.03995626603193082,2765,2590,166,9,0.004113194924267205,-0.00028904030761589674,0.00985277306893786,0.0287391377240158,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__negative_near_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__negative_near_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__negative_near_zero_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__negative_near_zero_share.json
ok,negative_mid_range_share,Negative mid-range share,negative,share,signed,0.015143367931885034,0.004141071998792933,3.6568714420563375,0.0002553123451867459,0.007027015956863591,0.02325971990690648,0.016020995569819143,0.015330130154240682,1.0450658545379246,0.2959925340109706,-0.014025507410804057,0.04606749855044234,2765,2590,166,9,0.0020264891465309187,-0.0009246037507627092,0.014218764181122327,0.015096391819056436,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__negative_mid_range_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__negative_mid_range_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__negative_mid_range_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__negative_mid_range_share.json
ok,negative_far_from_zero_share,Negative far-from-zero share,negative,share,signed,-0.025285181308438803,0.004870270777127459,-5.191740349876868,2.083374144891029e-07,-0.03483073662656652,-0.015739625990311083,-0.04504917360145085,0.017373635575894893,-2.5929618130101955,0.009515333523899189,-0.07910087361072865,-0.010997473592173061,2765,2590,166,9,0.004175151771908303,0.0012136440583786063,-0.0240715372500602,-0.04383552954307225,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__negative_far_from_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__negative_far_from_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__negative_far_from_zero_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__negative_far_from_zero_share.json
ok,positive_near_zero_share,Positive near-zero share,positive,share,signed,0.003602268237368884,0.0009146494921446923,3.93841386050759,8.202202996237525e-05,0.001809588174287436,0.005394948300450332,0.012118132438129432,0.0031520054027281315,3.8445785745293826,0.00012075978778498846,0.005940315369706626,0.018295949506552237,2767,2592,166,9,0.004086894049011858,-0.0003525504993995091,0.003249717737969381,0.01176558193872992,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__positive_near_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__positive_near_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__positive_near_zero_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__positive_near_zero_share.json
ok,positive_mid_range_share,Positive mid-range share,positive,share,signed,0.018931840599656122,0.0031406847418715524,6.027934083054299,1.6606875115555697e-09,0.012776211618793403,0.025087469580518842,0.05996781258041117,0.01759526430180164,3.4081791300100486,0.0006539794827178585,0.02548172825041666,0.09445389691040568,2767,2592,166,9,0.008006362613834805,-0.00046289093579881776,0.018468949663857294,0.05950492164461236,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__positive_mid_range_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__positive_mid_range_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__positive_mid_range_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__positive_mid_range_share.json
ok,positive_far_from_zero_share,Positive far-from-zero share,positive,share,signed,-0.022534108837025002,0.003471251179895603,-6.491638798003292,8.490763384715108e-11,-0.029337636130912552,-0.015730581543137452,-0.07208594501854058,0.019276614994463565,-3.739554119810163,0.00018434695683317237,-0.10986741615153395,-0.03430447388554723,2767,2592,166,9,0.009795951982809248,0.0008154414351983282,-0.021718667401826673,-0.07127050358334225,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__positive_far_from_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__positive_far_from_zero_share.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__positive_far_from_zero_share.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__positive_far_from_zero_share.json
ok,mode_position_sec,Mode position (sec),overall,mode,signed,-0.0002406082294038271,0.00023540940877153874,-1.0220841667264615,0.30674106631043874,-0.0007020021922179105,0.00022078573341025628,-0.00024505748232580866,0.0002364394517570097,-1.0364492072061466,0.2999926239835806,-0.0007084702922939433,0.00021835532764232597,2768,2593,166,9,2.561368998732494e-05,0.00020369303674838248,-3.691519265544278e-05,-4.1364445577429593e-05,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/analysis_sample__mode_position_sec.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/group_summary__mode_position_sec.csv,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/boxplot__mode_position_sec.png,output/cross_k_sum_share_round_lot_effects/cross_k_summary_NP/regression__mode_position_sec.json
