symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
KRMN,3.6121261735739796,0.6969476744186046,0.2543604651162791,0.048691860465116255,4.062603458519087,0.7340924313462825,0.21299397186872066,0.052913596784996644,7.011619919779142,0.020217147135904154,0.19805316360913516,0.7817296892549607,7.542891350981184,0.01984126984126984,0.19408369408369408,0.786075036075036,7.41230032872e-05,8.29919954412e-05,100.0,100.0,0,0,stay100,0,100->100,0.2543604651162791,0.21299397186872066,-0.04136649324755842,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRO,4.297513550718403,0.6216216216216217,0.2972972972972973,0.08108108108108109,8.019370460048426,0.6521739130434782,0.21739130434782608,0.13043478260869562,17.654650262410737,0.006578947368421049,0.381578947368421,0.6118421052631579,18.130750605326877,0.0641025641025641,0.2692307692307692,0.6666666666666666,8.04560040705e-05,2.660999598447233e-06,100.0,100.0,0,0,stay100,0,100->100,0.2972972972972973,0.21739130434782608,-0.07990599294947123,negative_mid_range_share,Negative mid-range share,negative,share,signed
KROS,7.492400799627571,0.6973684210526315,0.1907894736842105,0.1118421052631579,6.220660657201279,0.6727272727272727,0.23636363636363636,0.09090909090909093,9.759837883725389,0.0303030303030303,0.3282828282828283,0.6414141414141414,9.274439525281906,0.04878048780487805,0.3353658536585366,0.6158536585365854,1.26060040201e-05,8.898998203221709e-06,100.0,100.0,0,0,stay100,0,100->100,0.1907894736842105,0.23636363636363636,0.04557416267942585,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRP,7.427028679129947,0.601851851851852,0.29629629629629634,0.10185185185185186,7.5652134188125295,0.48695652173913045,0.3913043478260869,0.12173913043478259,14.922826142325917,0.0368663594470046,0.3317972350230414,0.631336405529954,9.341393960620689,0.04225352112676056,0.24647887323943662,0.7112676056338028,6.54329996905e-05,-1.83929951163e-05,100.0,100.0,0,0,stay100,0,100->100,0.29629629629629634,0.3913043478260869,0.09500805152979058,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRUS,5.72891896835559,0.8448275862068965,0.1379310344827586,0.01724137931034481,14.000716760243696,0.7645051194539249,0.19453924914675774,0.04095563139931742,14.519846350832267,0.04081632653061224,0.17687074829931973,0.782312925170068,24.60876836698125,0.025242718446601944,0.16116504854368927,0.8135922330097088,0.0007775050034979,2.8239956009201705e-06,100.0,100.0,0,0,stay100,0,100->100,0.1379310344827586,0.19453924914675774,0.05660821466399915,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRYS,7.736389684813753,0.8209219858156028,0.14716312056737585,0.03191489361702127,1.9107398347717728,0.8297101449275363,0.1340579710144927,0.03623188405797098,10.603243309150763,0.02716688227684347,0.13583441138421734,0.8369987063389392,6.424516545899293,0.009698275862068966,0.08297413793103449,0.9073275862068966,6.260015652514994e-07,0.000199658999918,100.0,100.0,0,0,stay100,0,100->100,0.14716312056737585,0.1340579710144927,-0.013105149552883139,negative_mid_range_share,Negative mid-range share,negative,share,signed
KSA,2.4887158231498776,0.686104218362283,0.2630272952853598,0.050868486352357294,4.1879832159753105,0.6551724137931035,0.25172413793103454,0.09310344827586206,5.758629044881541,0.02412868632707774,0.2879356568364611,0.6879356568364611,12.448419076450753,0.029002320185614848,0.3225058004640371,0.648491879350348,5.80560008529e-05,5.54340003873e-05,100.0,100.0,0,0,stay100,0,100->100,0.2630272952853598,0.25172413793103454,-0.011303157354325244,negative_mid_range_share,Negative mid-range share,negative,share,signed
KSS,1.9099310713163191,0.5875156838143036,0.3393977415307403,0.07308657465495608,0.9898884143821461,0.6570919617011801,0.2685370741482966,0.07437096415052324,4.704732968333455,0.03349038583980642,0.3054883484018847,0.6610212657583089,2.795756991321118,0.02909176915799432,0.2768842636392306,0.6940239672027751,4.66510027763e-05,6.74120019539e-05,100.0,100.0,0,0,stay100,0,100->100,0.3393977415307403,0.2685370741482966,-0.07086066738244373,negative_mid_range_share,Negative mid-range share,negative,share,signed
KT,15.122766485609652,0.6470014627011214,0.29058995611896643,0.06240858117991224,11.584168129148997,0.6234756097560976,0.32215447154471544,0.05436991869918699,31.086096296114235,0.025616698292220113,0.2713472485768501,0.7030360531309298,24.728196296013692,0.023327779100214233,0.2585098786003332,0.7181623422994525,6.62579986965e-05,9.29669986362e-05,100.0,100.0,0,0,stay100,0,100->100,0.29058995611896643,0.32215447154471544,0.03156451542574901,negative_mid_range_share,Negative mid-range share,negative,share,signed
KTB,3.5777171795870664,0.6602787456445993,0.2770034843205575,0.06271777003484319,3.7931475037764626,0.7164764621968617,0.23466476462196867,0.048858773181169775,11.76158940397351,0.013778484366719659,0.15262321144674088,0.8335983041865395,7.786503934285779,0.018068102849200823,0.1940583738707436,0.7878735232800556,8.02770009613e-05,9.60320030571e-05,100.0,100.0,0,0,stay100,0,100->100,0.2770034843205575,0.23466476462196867,-0.04233871969858882,negative_mid_range_share,Negative mid-range share,negative,share,signed
KTOS,2.6585709587453707,0.6741693461950697,0.2690246516613076,0.0568060021436227,3.562826142544614,0.7567783094098884,0.2121212121212121,0.03110047846889952,4.792836390792834,0.03626634958382877,0.23543400713436385,0.7282996432818074,5.327192198780822,0.03253333333333333,0.21440000000000003,0.7530666666666667,1.84880045708e-05,4.23500023316592e-06,100.0,100.0,0,0,stay100,0,100->100,0.2690246516613076,0.2121212121212121,-0.056903439540095524,negative_mid_range_share,Negative mid-range share,negative,share,signed
