symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
FRBA,6.936213691431907,0.4318181818181819,0.5000000000000001,0.06818181818181818,5.907110410679522,0.5423728813559322,0.40677966101694923,0.05084745762711865,9.931396876368414,0.04761904761904761,0.25396825396825395,0.6984126984126984,18.922777417261518,0.0,0.11111111111111112,0.888888888888889,0.0001382910049869,0.000133334993734,100.0,100.0,0,0,stay100,0,100->100,9.931396876368414,18.922777417261518,0.6002245749455999,positive_total,Positive total,positive,sum,log1p
FRGT,6.618998978549541,0.6222222222222222,0.3777777777777777,0.0,9.86468200270636,0.7530864197530863,0.22222222222222218,0.02469135802469135,19.856996935648624,0.0,0.14814814814814814,0.8518518518518517,27.158322056833555,0.00896860986547085,0.10313901345291482,0.8878923766816144,0.0001184080028906,0.0001503979947301,100.0,100.0,0,0,stay100,0,100->100,19.856996935648624,27.158322056833555,0.30015346707205337,positive_total,Positive total,positive,sum,log1p
FRHC,12.951912951912954,0.8341463414634147,0.15609756097560973,0.009756097560975605,7.146200151703436,0.6138211382113821,0.3617886178861789,0.024390243902439015,20.21762021762022,0.012499999999999999,0.09999999999999999,0.8875000000000001,22.716782596065393,0.011508951406649615,0.14066496163682865,0.8478260869565218,0.0001471180003136,0.0001341379975201,100.0,100.0,0,0,stay100,0,100->100,20.21762021762022,22.716782596065393,0.11135094514312271,positive_total,Positive total,positive,sum,log1p
FRME,3.6221576845648653,0.6445264452644526,0.33087330873308735,0.024600246002460028,5.195074299923036,0.6957264957264958,0.27863247863247864,0.02564102564102564,8.122009174614698,0.013713658804168945,0.12890839275918817,0.8573779484366428,13.267420519803446,0.01740294511378849,0.09638554216867469,0.8862115127175368,0.000132963003125,0.0001647089957259,100.0,100.0,0,0,stay100,0,100->100,8.122009174614698,13.267420519803446,0.44728856863989375,positive_total,Positive total,positive,sum,log1p
FRMI,1.6959801186979289,0.7045267489711934,0.2716049382716049,0.023868312757201623,4.1295420169444395,0.767413979139192,0.21172521280422013,0.02086080805658792,2.729969643739486,0.015850696663683977,0.11594017640291444,0.8682091269334015,6.117821688452517,0.012705349194788367,0.11904183863397264,0.868252812171239,0.0001160489991889,0.0001154240017058,100.0,100.0,0,0,stay100,0,100->100,2.729969643739486,6.117821688452517,0.6462016407658533,positive_total,Positive total,positive,sum,log1p
FROG,2.711045155819376,0.7946512355333125,0.18611197998123244,0.01923678448545511,4.14025079450215,0.7535232383808095,0.2209895052473763,0.025487256371814072,5.0125079499682,0.01082727118930806,0.10378954491625783,0.8853831838944342,7.279889253061651,0.01705320600272851,0.126193724420191,0.8567530695770805,0.0001433169964002,0.000147778999235,100.0,100.0,0,0,stay100,0,100->100,5.0125079499682,7.279889253061651,0.31998763540258035,positive_total,Positive total,positive,sum,log1p
FRPT,2.3828160703618235,0.7956226506608465,0.18224809021462351,0.022129259124530128,3.242958846499564,0.7935240902206394,0.18453477424372672,0.021941135535633868,4.567714230186742,0.01167056739831741,0.10664811183503069,0.881681320766652,5.951464693858465,0.010461277658815132,0.10278372591006425,0.8867549964311205,0.0001364740019198,0.0001576810027472,100.0,100.0,0,0,stay100,0,100->100,4.567714230186742,5.951464693858465,0.22196778657687077,positive_total,Positive total,positive,sum,log1p
FRSH,2.083246865326019,0.6760098928276999,0.29266281945589445,0.03132728771640556,2.159000399814889,0.6744501764865598,0.28998099375509095,0.03556882975834914,5.261357602577295,0.014525869103966048,0.1057613840378652,0.8797127468581687,6.083656299016811,0.01165927924455579,0.10984775486606282,0.8784929658893814,0.0001299189971177,0.0001352100007352,100.0,100.0,0,0,stay100,0,100->100,5.261357602577295,6.083656299016811,0.12339316979767645,positive_total,Positive total,positive,sum,log1p
FRST,5.684840425531915,0.8421052631578948,0.15789473684210525,0.0,8.118595164660233,0.8823529411764706,0.1176470588235294,0.0,16.15691489361702,0.009259259259259257,0.08333333333333333,0.9074074074074074,15.401452591781911,0.007751937984496119,0.08527131782945738,0.9069767441860465,0.0001391339974361,0.00016644000425,100.0,100.0,0,0,stay100,0,100->100,16.15691489361702,15.401452591781911,-0.045031389564893054,positive_total,Positive total,positive,sum,log1p
FSBC,16.916536137838442,0.8690476190476191,0.10714285714285714,0.023809523809523808,7.643076923076924,0.6630434782608695,0.3043478260869565,0.032608695652173905,30.10740657865294,0.01337792642140468,0.09030100334448161,0.8963210702341137,22.181538461538466,0.007490636704119846,0.17602996254681644,0.8164794007490638,0.0001380539979436,0.0001348430014331,100.0,100.0,0,0,stay100,0,100->100,30.10740657865294,22.181538461538466,-0.29408973856329457,positive_total,Positive total,positive,sum,log1p
FSFG,8.556697261125535,0.7538461538461538,0.23076923076923078,0.015384615384615382,9.538663910551536,0.8936170212765958,0.10638297872340426,0.0,12.242659158225765,0.01075268817204301,0.10752688172043012,0.8817204301075269,21.512731372733253,0.018867924528301883,0.14150943396226415,0.839622641509434,0.0001336890054517,0.000131455999508,100.0,100.0,0,0,stay100,0,100->100,12.242659158225765,21.512731372733253,0.5306376148631649,positive_total,Positive total,positive,sum,log1p
FSLR,0.9909417196319661,0.7626243223630854,0.21517906688863275,0.02219661074828185,1.6068142672456895,0.7731194392019411,0.20281747101644645,0.024063089781612295,1.8412388318546913,0.012819040180109788,0.10808886030002986,0.8790920995198603,3.4598059967082473,0.010674596963531057,0.09265925809985914,0.8966661449366098,0.0001452529977541,0.0002771279978333,100.0,100.0,0,0,stay100,0,100->100,1.8412388318546913,3.4598059967082473,0.4508651011285494,positive_total,Positive total,positive,sum,log1p
