symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,mean_close_202509,n_close_obs_202509,round_lot_20251031,round_lot_20251103,y_pre,y_post,delta_y,display_name,side,family,transform,running,D_rule,expected_post_round_lot,rule_consistent,D_actual
A,2.1059237287198016,0.6209613869188336,0.3112687155240346,0.06776989755713157,2.103131842949534,0.6903765690376569,0.25801952580195253,0.051603905160390484,4.208528428710336,0.033123028391167195,0.1999211356466877,0.7669558359621452,4.772378672913377,0.020897357098955124,0.21880762138905963,0.7602950215119852,-2.7130008675158024e-06,6.6095002694e-05,125.87580952380952,21.0,100.0,100.0,4.208528428710336,4.772378672913377,0.10278687934235364,Positive total,positive,sum,log1p,-124.12419047619048,0,100.0,True,0
AA,0.9898089555610506,0.5977066411849022,0.316292403248925,0.08600095556617288,0.8559841233205603,0.6531886024423338,0.2729986431478969,0.07381275440976931,2.642643308014884,0.027469577666428054,0.30690765926986396,0.6656227630637079,2.1375212761996734,0.027059334927189736,0.2758096066072593,0.6971310584655509,6.44830070086e-05,5.26279982295e-05,32.207142857142856,21.0,100.0,100.0,2.642643308014884,2.1375212761996734,-0.14927651593177882,Positive total,positive,sum,log1p,-217.79285714285714,0,100.0,True,0
AAAU,0.2762243255297674,0.6022346368715084,0.33407821229050283,0.06368715083798873,0.21167948639871967,0.6071428571428574,0.31390977443609014,0.07894736842105253,0.541955212994717,0.02220956719817756,0.33428246013667423,0.6435079726651481,0.6899477996529702,0.019607843137254884,0.44348327566320644,0.5369088811995387,6.55539988656e-05,6.69529981678e-05,36.316428571428574,21.0,100.0,100.0,0.541955212994717,0.6899477996529702,0.09164641070981416,Positive total,positive,sum,log1p,-213.68357142857144,0,100.0,True,0
AAMI,9.310422752115434,0.7281553398058253,0.22330097087378642,0.04854368932038835,10.84862571721145,0.6634304207119741,0.2944983818770227,0.04207119741100323,13.378083177796935,0.033783783783783786,0.1689189189189189,0.7972972972972973,19.274742779123258,0.03825136612021857,0.3369763205828779,0.6247723132969034,-8.325005182996392e-06,7.46750010875e-05,47.888571428571424,21.0,100.0,100.0,13.378083177796935,19.274742779123258,0.3436708676988034,Positive total,positive,sum,log1p,-202.11142857142858,0,100.0,True,0
AAP,2.251789943472037,0.6877679697351828,0.25825977301387143,0.05397225725094577,2.09219727250708,0.6978116547823949,0.2289156626506024,0.07327268256700269,4.012899808467445,0.025049532974808927,0.20987829040475517,0.7650721766204358,3.2769354870592826,0.024646781789638927,0.22150706436420717,0.7538461538461538,-2.713997673708945e-06,-7.25199788575992e-06,60.83380952380952,21.0,100.0,100.0,4.012899808467445,3.2769354870592826,-0.15877780629827298,Positive total,positive,sum,log1p,-189.16619047619048,0,100.0,True,0
AAT,4.735608873785609,0.5625,0.2916666666666667,0.14583333333333334,4.137199434229137,0.4786324786324786,0.42735042735042733,0.094017094017094,5.623535537620411,0.07017543859649122,0.10526315789473685,0.8245614035087719,11.987270155586986,0.04424778761061947,0.2831858407079646,0.672566371681416,-3.890003426931799e-06,6.48369968985e-05,20.58095238095238,21.0,100.0,100.0,5.623535537620411,11.987270155586986,0.6733403624008862,Positive total,positive,sum,log1p,-229.41904761904763,0,100.0,True,0
AAUC,1.3435844563018697,0.592274678111588,0.30901287553648066,0.0987124463519313,0.6693185155239945,0.6707692307692308,0.24307692307692302,0.08615384615384614,1.822200378503823,0.028481012658227816,0.29430379746835444,0.6772151898734178,1.394241953876136,0.026587887740029507,0.34564254062038413,0.6277695716395865,-4.8869987949728966e-06,7.92089995229e-05,15.806190476190476,21.0,100.0,100.0,1.822200378503823,1.394241953876136,-0.16445018794720823,Positive total,positive,sum,log1p,-234.19380952380953,0,100.0,True,0
AB,10.622966796460817,0.5871559633027522,0.34862385321100925,0.06422018348623854,6.6530778638401955,0.3235294117647059,0.47058823529411775,0.20588235294117652,7.017005590322741,0.06944444444444445,0.36111111111111116,0.5694444444444444,7.240114145943743,0.05405405405405404,0.2972972972972973,0.6486486486486487,-2.28050048463e-05,-9.420036803930998e-07,38.42285714285714,21.0,100.0,100.0,7.017005590322741,7.240114145943743,0.027449212119375233,Positive total,positive,sum,log1p,-211.57714285714286,0,100.0,True,0
ABBV,1.104800850185955,0.73206961534198,0.22436536969293872,0.04356501496508142,0.7100853999086686,0.7172535730072199,0.24193310741122728,0.04081331958155292,2.057983980326437,0.02100690311830516,0.14288264698881217,0.8361104498928826,1.135906466304467,0.01989499861840282,0.17527862208713268,0.8048263792944644,-3.872999513987452e-06,-9.061994205694646e-06,217.99666666666667,21.0,100.0,100.0,2.057983980326437,1.135906466304467,-0.3588647379259089,Positive total,positive,sum,log1p,-32.00333333333333,0,100.0,True,0
ABCB,6.235474290411441,0.6949152542372882,0.25635593220338987,0.04872881355932203,2.577901800544814,0.6082474226804124,0.29553264604810997,0.09621993127147764,11.836832551289515,0.027901785714285716,0.24107142857142858,0.7310267857142858,8.92963922662946,0.015873015873015872,0.16468253968253968,0.8194444444444444,7.95840023783e-05,0.0001022240030579,74.28809523809524,21.0,100.0,100.0,11.836832551289515,8.92963922662946,-0.25679443605476227,Positive total,positive,sum,log1p,-175.71190476190475,0,100.0,True,0
